date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:01:58	197/197	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225aec19c0-10f%22	https://berkahinterior.neocities.org/robots.txt		(from )
11:01:59	77889/77889	---MCZ	200	added ('OK')	text/html	etag:W/%225b502f40-13041%22	https://berkahinterior.neocities.org/	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/index.html	(from )
11:02:00	114405/114405	---M--	200	added ('OK')	image/png	etag:%225aefba84-1bee5%22	https://berkahinterior.neocities.org/wp-content/uploads/elementor/thumbs/call-center-np6lmw2c01ekz9fu7zq7kvftz2k1qgvcpjcvsgwe80.png	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/elementor/thumbs/call-center-np6lmw2c01ekz9fu7zq7kvftz2k1qgvcpjcvsgwe80.png	(from https://berkahinterior.neocities.org/)
11:02:01	13191/13191	---M--	200	added ('OK')	image/jpeg	etag:%225aefba78-3387%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/kusen-aluminium.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/kusen-aluminium.jpg	(from https://berkahinterior.neocities.org/)
11:02:02	21076/21076	---M--	200	added ('OK')	image/jpeg	etag:%225aefba7e-5254%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/pintu-aluminium.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/pintu-aluminium.jpg	(from https://berkahinterior.neocities.org/)
11:02:03	18866/18866	---M--	200	added ('OK')	image/jpeg	etag:%225aefba75-49b2%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/Jendela-Aluminium.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/Jendela-Aluminium.jpg	(from https://berkahinterior.neocities.org/)
11:02:04	25045/25045	---M--	200	added ('OK')	image/jpeg	etag:%225aefba73-61d5%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/Desain-interior.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/Desain-interior.jpg	(from https://berkahinterior.neocities.org/)
11:02:05	41795/41795	---M--	200	added ('OK')	image/jpeg	etag:%225aefba81-a343%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/wallpaper.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/wallpaper.jpg	(from https://berkahinterior.neocities.org/)
11:02:06	32019/32019	---M--	200	added ('OK')	image/jpeg	etag:%225aefba76-7d13%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/keramik.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/keramik.jpg	(from https://berkahinterior.neocities.org/)
11:02:07	21685/21685	---M--	200	added ('OK')	image/jpeg	etag:%225aefba7d-54b5%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/partisi-aluminium.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/partisi-aluminium.jpg	(from https://berkahinterior.neocities.org/)
11:02:08	27934/27934	---M--	200	added ('OK')	image/jpeg	etag:%225aefba7b-6d1e%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/lantai-kayu-vinyl.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/lantai-kayu-vinyl.jpg	(from https://berkahinterior.neocities.org/)
11:02:09	33131/33131	---M--	200	added ('OK')	image/jpeg	etag:%225aefba7c-816b%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/Parket-Kayu-Jati.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/Parket-Kayu-Jati.jpg	(from https://berkahinterior.neocities.org/)
11:02:10	22786/22786	---M--	200	added ('OK')	image/jpeg	etag:%225aefba7f-5902%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/plafon-PVC.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/plafon-PVC.jpg	(from https://berkahinterior.neocities.org/)
11:02:11	28713/28713	---M--	200	added ('OK')	image/jpeg	etag:%225aefba74-7029%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/Furniture-Custom.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/Furniture-Custom.jpg	(from https://berkahinterior.neocities.org/)
11:02:12	23478/23478	---M--	200	added ('OK')	image/jpeg	etag:%225aefba77-5bb6%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/04/Kitchen-Set.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/04/Kitchen-Set.jpg	(from https://berkahinterior.neocities.org/)
11:02:13	48193/48193	---M--	200	added ('OK')	image/jpeg	etag:%225b502d13-bc41%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/07/Gypsum.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/07/Gypsum.jpg	(from https://berkahinterior.neocities.org/)
11:02:14	23384/23384	---M--	200	added ('OK')	image/jpeg	etag:%225b502d15-5b58%22	https://berkahinterior.neocities.org/wp-content/uploads/2018/07/Plafon-Gypsum.jpg	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/wp-content/uploads/2018/07/Plafon-Gypsum.jpg	(from https://berkahinterior.neocities.org/)
11:02:14	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225aec19c0-10f%22	https://berkahinterior.neocities.org/feed	E:/c/HTML/berkahinterior.neocities.org/berkahinterior.neocities.org/feed	(from https://berkahinterior.neocities.org/)
